scan,x,y,y_relative,band
1,508,1066,0.9791,bottom5
1,193,1084,1.0,bottom5
1,157,1042,0.9513,bottom5
1,205,1044,0.9536,bottom5
1,4,1018,0.9234,bottom25_5
1,141,979,0.8782,bottom25_5
1,274,948,0.8422,bottom25_5
1,261,941,0.8341,bottom25_5
1,181,918,0.8074,bottom25_5
1,176,923,0.8132,bottom25_5
1,352,1023,0.9292,bottom25_5
1,348,1002,0.9049,bottom25_5
1,357,988,0.8886,bottom25_5
1,357,980,0.8794,bottom25_5
1,286,911,0.7993,bottom25_5
1,346,901,0.7877,bottom25_5
1,222,885,0.7691,bottom25_5
1,141,868,0.7494,middle50
1,146,871,0.7529,bottom25_5
1,165,851,0.7297,middle50
1,143,839,0.7158,middle50
1,143,764,0.6288,middle50
1,160,760,0.6241,middle50
1,203,815,0.6879,middle50
1,226,808,0.6798,middle50
1,255,814,0.6868,middle50
1,300,817,0.6903,middle50
1,297,821,0.6949,middle50
1,302,834,0.71,middle50
1,526,919,0.8086,bottom25_5
1,532,900,0.7865,bottom25_5
1,514,905,0.7923,bottom25_5
1,476,903,0.79,bottom25_5
1,519,860,0.7401,middle50
1,481,849,0.7274,middle50
1,441,845,0.7227,middle50
1,493,797,0.6671,middle50
1,426,829,0.7042,middle50
1,404,819,0.6926,middle50
1,439,803,0.674,middle50
1,450,775,0.6415,middle50
1,426,763,0.6276,middle50
1,381,812,0.6845,middle50
1,380,776,0.6427,middle50
1,348,779,0.6462,middle50
1,332,772,0.6381,middle50
1,81,691,0.5441,middle50
1,146,697,0.551,middle50
1,145,684,0.536,middle50
1,204,741,0.6021,middle50
1,274,709,0.565,middle50
1,245,682,0.5336,middle50
1,368,688,0.5406,middle50
1,431,725,0.5835,middle50
1,520,669,0.5186,middle50
1,504,603,0.442,middle50
1,372,633,0.4768,middle50
1,550,544,0.3735,middle50
1,503,490,0.3109,middle50
1,376,466,0.2831,middle50
1,313,436,0.2483,top5_25
1,153,473,0.2912,middle50
1,130,421,0.2309,top5_25
1,109,452,0.2668,middle50
1,453,227,0.0058,top5
1,409,222,0.0,top5
2,532,1087,0.9757,bottom5
2,377,1045,0.927,bottom25_5
2,383,1010,0.8864,bottom25_5
2,382,1002,0.8772,bottom25_5
2,232,1067,0.9525,bottom5
2,218,1108,1.0,bottom5
2,183,1066,0.9513,bottom5
2,166,1005,0.8806,bottom25_5
2,29,1045,0.927,bottom25_5
2,204,943,0.8088,bottom25_5
2,200,947,0.8134,bottom25_5
2,284,964,0.8331,bottom25_5
2,300,972,0.8424,bottom25_5
2,557,920,0.7822,bottom25_5
2,550,941,0.8065,bottom25_5
2,539,926,0.7891,bottom25_5
2,501,925,0.7879,bottom25_5
2,543,882,0.7381,middle50
2,371,924,0.7868,bottom25_5
2,247,909,0.7694,bottom25_5
2,310,933,0.7972,bottom25_5
2,172,895,0.7532,bottom25_5
2,166,891,0.7486,middle50
2,190,874,0.7289,middle50
2,167,862,0.7149,middle50
2,323,839,0.6883,middle50
2,320,844,0.6941,middle50
2,325,858,0.7103,middle50
2,506,870,0.7242,middle50
2,465,867,0.7207,middle50
2,452,852,0.7034,middle50
2,429,841,0.6906,middle50
2,405,834,0.6825,middle50
2,464,824,0.6709,middle50
2,518,819,0.6651,middle50
2,473,796,0.6385,middle50
2,449,785,0.6257,middle50
2,404,799,0.6419,middle50
2,372,804,0.6477,middle50
2,356,794,0.6362,middle50
2,454,746,0.5805,middle50
2,543,690,0.5156,middle50
2,526,626,0.4415,middle50
2,570,565,0.3708,middle50
2,524,511,0.3082,middle50
2,398,488,0.2816,middle50
2,334,459,0.248,top5_25
2,175,497,0.292,middle50
2,151,445,0.2317,top5_25
2,130,478,0.27,middle50
2,475,249,0.0046,top5
2,431,245,0.0,top5
2,17,582,0.3905,middle50
2,395,656,0.4762,middle50
2,391,711,0.54,middle50
2,299,732,0.5643,middle50
2,268,705,0.533,middle50
2,168,707,0.5353,middle50
2,169,720,0.5504,middle50
2,105,715,0.5446,middle50
2,280,837,0.686,middle50
2,250,831,0.679,middle50
2,226,837,0.686,middle50
2,258,779,0.6188,middle50
2,227,764,0.6014,middle50
2,185,784,0.6246,middle50
2,166,789,0.6304,middle50
2,375,1025,0.9038,bottom25_5
3,404,1245,1.0,bottom5
3,536,1188,0.9497,bottom25_5
3,530,1173,0.9365,bottom25_5
3,522,1192,0.9532,bottom5
3,457,1167,0.9312,bottom25_5
3,629,1100,0.872,bottom25_5
3,582,1093,0.8658,bottom25_5
3,575,1102,0.8738,bottom25_5
