scan,total,top5,top5_25,middle50,bottom25_5,bottom5,yMin,yMax,yRange,yMean,yStd,xMin,xMax
1,66,2,2,40,18,4,222,1084,862,786.0,185.7,4,550
2,68,2,2,42,18,4,245,1108,863,805.0,185.1,17,570
3,92,2,10,27,50,3,112,1245,1133,882.4,289.5,81,629
4,88,6,12,44,25,1,168,1208,1040,747.0,298.2,31,579
5,68,1,6,27,30,4,16,1215,1199,808.1,302.5,82,611
6,66,2,15,30,16,3,123,1184,1061,671.0,310.4,83,622
13,71,2,2,41,22,4,245,1107,862,814.1,181.1,73,839
14,97,1,2,72,19,3,157,1170,1013,828.9,162.1,167,684
15,101,1,4,85,9,2,557,1262,705,916.1,138.8,153,612
16,116,1,5,69,32,9,123,1263,1140,869.3,235.6,130,658
17,115,1,4,96,13,1,514,1249,735,919.3,134.1,269,691
18,112,2,7,72,25,6,117,1182,1065,798.8,219.7,233,719
19,93,1,12,73,3,4,485,1267,782,811.0,148.3,189,658
20,110,2,8,84,15,1,222,1226,1004,795.9,195.4,47,655
21,103,3,3,86,6,5,325,1192,867,830.3,163.2,144,540
22,81,2,4,64,6,5,407,1260,853,849.5,186.5,216,631
23,113,1,5,98,8,1,503,1222,719,842.8,118.7,260,654
24,88,1,3,65,15,4,481,1255,774,952.9,148.5,358,759
25,101,2,9,62,19,9,411,1269,858,930.4,203.2,304,738
26,105,3,3,81,17,1,285,1214,929,834.7,164.9,266,747
27,95,1,4,69,18,3,101,1192,1091,783.7,192.6,309,781
28,89,2,2,62,19,4,434,1265,831,940.9,168.9,222,736
29,89,2,5,65,16,1,277,1285,1008,892.8,200.7,236,753
30,107,1,2,90,10,4,492,1174,682,856.3,126.0,316,804
31,102,2,2,91,5,2,573,1266,693,920.7,114.2,413,835
32,90,2,7,66,12,3,654,1253,599,948.8,131.9,309,766
33,88,1,3,70,11,3,265,1238,973,858.5,175.0,257,762
34,110,2,14,76,16,2,243,1180,937,745.8,206.2,274,711
35,101,1,0,61,35,4,26,1251,1225,910.2,169.9,270,737
36,94,2,3,72,14,3,424,1284,860,915.7,154.3,383,781
37,102,1,1,87,5,8,433,1234,801,908.4,139.2,154,631
38,95,8,4,66,15,2,309,1261,952,831.5,219.3,170,714
39,110,3,9,82,15,1,240,1261,1021,781.9,206.4,308,781
40,101,1,5,83,10,2,197,1244,1047,834.9,184.3,194,808
41,87,1,0,71,12,3,428,1242,814,889.5,131.6,355,767
42,73,1,0,24,46,2,25,1246,1221,962.2,145.9,308,842
43,96,1,5,74,15,1,113,1238,1125,812.9,200.2,352,756
44,87,1,4,60,21,1,159,1249,1090,887.1,201.5,282,678
45,121,2,12,85,20,2,12,1264,1252,759.1,282.4,365,816
46,100,2,4,82,11,1,191,1260,1069,824.6,187.3,333,771
47,94,1,4,82,6,1,286,1264,978,811.1,161.9,270,771
48,112,2,13,62,26,9,2,1215,1213,768.1,298.1,308,790
49,104,2,3,71,26,2,118,1235,1117,842.4,209.4,303,760
